date,store_id,sku,category,units_sold,inventory_level,units_ordered,price,promotion,weather,is_holiday
2024-01-02,S05,SKU003,Frozen,11,28,10,16.44,1,Hot,0
2024-01-02,S05,SKU002,Household,9,27,41,8.79,1,Cloudy,0
2024-01-02,S05,SKU014,Beverages,11,40,0,10.21,0,Rainy,0
2024-01-03,S01,SKU013,Beverages,8,49,0,13.47,1,Rainy,0
2024-01-03,S01,SKU020,Beverages,8,44,0,9.03,0,Hot,0
2024-01-03,S01,SKU015,Household,6,47,0,7.02,0,Rainy,0
2024-01-03,S01,SKU017,Dairy,8,34,0,0.6,0,Hot,0
2024-01-03,S01,SKU009,Dairy,6,27,46,14,0,Sunny,0
2024-01-03,S01,SKU016,Beverages,9,18,24,14.1,0,Sunny,0
2024-01-03,S02,SKU010,Dairy,9,35,0,7.61,0,Hot,0
2024-01-03,S02,SKU014,Household,5,21,38,13.4,0,Cold,0
2024-01-03,S02,SKU006,Snacks,10,43,0,0.68,1,Cold,0
2024-01-03,S02,SKU015,Household,11,28,27,5.06,0,Sunny,0
2024-01-03,S02,SKU001,Beverages,6,43,0,17.64,1,Cloudy,0
2024-01-03,S02,SKU012,Dairy,9,17,15,16.12,0,Sunny,0
2024-01-03,S03,SKU017,Household,16,32,0,9.8,1,Cloudy,0
2024-01-03,S03,SKU007,Beverages,12,27,37,1.98,0,Sunny,0
2024-01-03,S03,SKU005,Household,9,40,0,12.56,0,Hot,0
2024-01-03,S03,SKU012,Dairy,4,40,0,11.35,0,Cold,0
2024-01-03,S03,SKU006,Frozen,8,23,39,0.86,0,Sunny,0
2024-01-03,S03,SKU009,Beverages,8,24,10,1.63,0,Cloudy,0
2024-01-03,S04,SKU004,Household,10,21,44,9.3,0,Cold,0
2024-01-03,S04,SKU012,Beverages,4,20,46,12.95,0,Cloudy,0
2024-01-03,S04,SKU010,Beverages,7,31,0,19.38,0,Sunny,0
2024-01-03,S04,SKU008,Frozen,10,48,0,5.33,0,Sunny,0
2024-01-03,S04,SKU002,Beverages,5,36,0,13.31,0,Sunny,0
2024-01-03,S04,SKU020,Household,2,20,31,4.6,1,Sunny,0
2024-01-03,S05,SKU005,Household,1,30,24,4.4,0,Hot,0
2024-01-03,S05,SKU020,Frozen,4,21,17,18.97,0,Hot,0
2024-01-03,S05,SKU016,Snacks,9,23,45,15.01,0,Cold,0
2024-01-03,S05,SKU006,Household,10,11,21,3.9,0,Cold,0
2024-01-03,S05,SKU009,Snacks,11,40,0,8.72,0,Rainy,0
2024-01-03,S05,SKU018,Dairy,10,14,47,10.1,0,Hot,0
2024-01-04,S01,SKU013,Snacks,5,35,0,5.1,0,Cloudy,0
2024-01-04,S01,SKU012,Snacks,12,41,0,7.46,0,Hot,0
2024-01-04,S01,SKU015,Beverages,7,37,0,10.39,0,Hot,0
2024-01-04,S01,SKU017,Dairy,4,27,47,3.22,0,Cold,0
2024-01-04,S01,SKU018,Beverages,12,22,39,10.19,1,Sunny,0
2024-01-04,S01,SKU002,Household,10,45,0,19.87,0,Cold,0
2024-01-04,S02,SKU018,Beverages,10,19,30,7.92,0,Cold,0
2024-01-04,S02,SKU008,Snacks,3,16,12,11.08,0,Rainy,0
2024-01-04,S02,SKU019,Beverages,7,48,0,19.13,0,Cold,0
2024-01-04,S02,SKU001,Beverages,10,31,0,18.63,0,Hot,0
2024-01-04,S02,SKU003,Dairy,7,46,0,4.11,0,Hot,0
2024-01-04,S02,SKU012,Beverages,3,30,18,13.11,0,Rainy,0
2024-01-04,S03,SKU017,Snacks,13,25,26,3.98,0,Cold,0
2024-01-04,S03,SKU008,Household,9,45,0,14,0,Hot,0
2024-01-04,S03,SKU009,Household,10,42,0,12.06,0,Cloudy,0
2024-01-04,S03,SKU016,Frozen,9,12,22,12.88,0,Sunny,0
2024-01-04,S03,SKU007,Snacks,3,27,37,19.5,0,Cold,0
2024-01-04,S03,SKU018,Frozen,10,37,0,4.93,0,Cold,0
2024-01-04,S04,SKU014,Frozen,12,46,0,10.27,1,Sunny,0
2024-01-04,S04,SKU007,Frozen,8,39,0,7.25,0,Hot,0
2024-01-04,S04,SKU004,Frozen,9,21,41,2.88,0,Hot,0
2024-01-04,S04,SKU018,Beverages,8,38,0,9.47,0,Rainy,0
2024-01-04,S04,SKU020,Beverages,8,8,13,19.94,0,Sunny,0
2024-01-04,S04,SKU006,Beverages,7,20,46,8.05,0,Cold,0
2024-01-04,S05,SKU013,Household,1,9,10,6.81,0,Rainy,0
2024-01-04,S05,SKU011,Frozen,9,38,0,6.83,0,Hot,0
2024-01-04,S05,SKU004,Snacks,10,25,37,12.93,0,Rainy,0
2024-01-04,S05,SKU008,Frozen,9,19,33,2.55,0,Sunny,0
2024-01-04,S05,SKU007,Snacks,7,36,0,10.54,0,Sunny,0
2024-01-04,S05,SKU018,Dairy,10,27,30,2.94,0,Cloudy,0
2024-01-05,S01,SKU015,Household,12,31,0,13.68,0,Cloudy,0
2024-01-05,S01,SKU008,Beverages,22,34,0,2.6,1,Cold,0
2024-01-05,S01,SKU003,Beverages,13,48,0,14.67,0,Sunny,0
2024-01-05,S01,SKU020,Snacks,10,21,23,4.45,0,Rainy,0
2024-01-05,S01,SKU004,Snacks,10,26,13,10.45,0,Cloudy,0
2024-01-05,S01,SKU001,Frozen,7,19,39,19.65,0,Cold,0
2024-01-05,S02,SKU016,Frozen,9,49,0,3.88,0,Hot,0
2024-01-05,S02,SKU020,Beverages,13,21,28,5.56,0,Rainy,0
2024-01-05,S02,SKU007,Frozen,1,10,40,18.49,0,Sunny,0
2024-01-05,S02,SKU013,Dairy,3,16,25,7.74,0,Rainy,0
2024-01-05,S02,SKU002,Frozen,6,22,41,13.44,0,Hot,0
2024-01-05,S02,SKU003,Dairy,10,29,30,12.37,0,Sunny,0
2024-01-05,S03,SKU014,Snacks,4,32,0,14.59,0,Sunny,0
2024-01-05,S03,SKU018,Beverages,13,43,0,11.14,1,Hot,0
2024-01-05,S03,SKU016,Household,7,31,0,18.96,0,Rainy,0
2024-01-05,S03,SKU005,Household,8,47,0,15.62,0,Cloudy,0
2024-01-05,S03,SKU007,Beverages,2,44,0,10.64,0,Hot,0
2024-01-05,S03,SKU017,Dairy,14,47,0,6.61,1,Cloudy,0
2024-01-05,S04,SKU002,Household,15,30,14,19.48,0,Hot,0
2024-01-05,S04,SKU020,Beverages,12,25,44,3.27,0,Sunny,0
2024-01-05,S04,SKU016,Snacks,8,43,0,3.76,0,Hot,0
2024-01-05,S04,SKU017,Beverages,6,19,45,17.49,0,Sunny,0
2024-01-05,S04,SKU006,Household,16,28,23,18.4,1,Sunny,0
2024-01-05,S04,SKU001,Beverages,11,42,0,2.84,1,Hot,0
2024-01-05,S05,SKU008,Beverages,3,45,0,6.35,0,Sunny,0
2024-01-05,S05,SKU013,Frozen,3,34,0,8.87,0,Cloudy,0
2024-01-05,S05,SKU004,Household,12,12,32,8.89,1,Hot,0
2024-01-05,S05,SKU020,Household,8,26,16,3.07,0,Hot,0
2024-01-05,S05,SKU002,Household,7,23,10,9.28,0,Cold,0
2024-01-05,S05,SKU010,Dairy,5,47,0,16.96,0,Sunny,0
2024-01-06,S01,SKU009,Snacks,11,23,28,9.29,0,Cold,0
2024-01-06,S01,SKU007,Dairy,10,27,29,13.89,0,Rainy,0
2024-01-06,S01,SKU011,Beverages,11,24,18,12.45,0,Hot,1
2024-01-06,S01,SKU008,Household,18,35,0,9.6,1,Sunny,0
2024-01-06,S01,SKU020,Beverages,4,32,0,11.8,0,Sunny,0
2024-01-06,S01,SKU019,Snacks,6,6,29,7.13,0,Rainy,0
2024-01-06,S02,SKU005,Snacks,7,49,0,19.45,0,Cloudy,0
2024-01-06,S02,SKU012,Household,6,34,0,3.04,0,Rainy,0
2024-01-06,S02,SKU003,Household,11,49,0,15.36,0,Cloudy,0
2024-01-06,S02,SKU008,Household,7,17,43,10.03,0,Cloudy,1
2024-01-06,S02,SKU019,Household,7,21,30,15.04,0,Hot,0
2024-01-06,S02,SKU020,Beverages,8,36,0,10.09,0,Rainy,0
2024-01-06,S03,SKU005,Dairy,18,25,47,5.49,1,Cold,0
2024-01-06,S03,SKU009,Dairy,9,24,11,7,0,Cloudy,0
2024-01-06,S03,SKU004,Dairy,7,19,46,0.61,0,Cold,0
2024-01-06,S03,SKU018,Dairy,10,17,23,16.26,0,Cold,0
2024-01-06,S03,SKU020,Beverages,3,8,11,14.35,0,Hot,0
2024-01-06,S03,SKU016,Frozen,6,12,26,12.99,0,Cold,0
2024-01-06,S04,SKU002,Frozen,10,29,41,10.76,1,Rainy,0
2024-01-06,S04,SKU001,Frozen,9,45,0,15.1,0,Sunny,0
2024-01-06,S04,SKU011,Beverages,0,17,15,5.31,0,Sunny,0
2024-01-06,S04,SKU005,Snacks,15,41,0,2.76,1,Rainy,0
2024-01-06,S04,SKU009,Dairy,13,46,0,2.54,0,Hot,0
2024-01-06,S04,SKU003,Snacks,6,22,46,16.53,1,Rainy,0
2024-01-06,S05,SKU002,Snacks,6,48,0,8.21,0,Sunny,0
2024-01-06,S05,SKU010,Dairy,7,17,46,18.27,0,Rainy,0
2024-01-06,S05,SKU012,Frozen,3,29,45,1.31,0,Rainy,0
2024-01-06,S05,SKU020,Snacks,7,38,0,4.04,0,Cold,0
2024-01-06,S05,SKU018,Snacks,13,32,0,9.73,0,Hot,0
2024-01-06,S05,SKU004,Snacks,9,20,35,17.02,0,Cloudy,0
2024-01-07,S01,SKU001,Snacks,9,30,14,10.2,0,Sunny,0
2024-01-07,S01,SKU006,Beverages,8,25,19,4.02,0,Cloudy,0
2024-01-07,S01,SKU011,Beverages,12,41,0,9.02,1,Cloudy,0
2024-01-07,S01,SKU014,Snacks,3,21,25,19.56,0,Cold,0
2024-01-07,S01,SKU008,Frozen,15,31,0,5.45,0,Cloudy,0
2024-01-07,S01,SKU005,Snacks,1,5,41,10.5,0,Sunny,0
2024-01-07,S02,SKU007,Dairy,4,33,0,11.5,0,Cloudy,0
2024-01-07,S02,SKU013,Household,7,33,0,8.91,0,Cloudy,0
2024-01-07,S02,SKU011,Household,14,32,0,12.9,0,Cloudy,0
2024-01-07,S02,SKU009,Beverages,11,30,14,8.14,1,Cold,0
2024-01-07,S02,SKU003,Dairy,0,44,0,4.91,0,Cold,0
2024-01-07,S02,SKU019,Dairy,2,42,0,14.77,0,Hot,1
2024-01-07,S03,SKU020,Household,11,20,41,3.76,0,Sunny,0
2024-01-07,S03,SKU014,Household,15,44,0,4.01,1,Cloudy,0
2024-01-07,S03,SKU012,Beverages,4,23,26,14.17,0,Hot,0
2024-01-07,S03,SKU011,Beverages,7,44,0,16.05,0,Sunny,0
2024-01-07,S03,SKU019,Household,6,16,34,3.57,0,Hot,0
2024-01-07,S03,SKU010,Snacks,12,16,20,4.23,0,Hot,0
2024-01-07,S04,SKU003,Dairy,7,37,0,13.01,0,Cloudy,0
2024-01-07,S04,SKU011,Dairy,7,15,27,14.24,0,Sunny,0
2024-01-07,S04,SKU019,Dairy,8,48,0,9.43,0,Cloudy,0
2024-01-07,S04,SKU004,Snacks,4,40,0,5.37,0,Rainy,0
2024-01-07,S04,SKU010,Frozen,7,23,10,4.8,0,Sunny,0
2024-01-07,S04,SKU009,Snacks,6,25,34,8.96,0,Hot,0
2024-01-07,S05,SKU010,Snacks,6,37,0,4.68,0,Cold,0
2024-01-07,S05,SKU013,Household,8,42,0,7.97,0,Hot,0
2024-01-07,S05,SKU018,Dairy,8,13,27,15.85,0,Cold,0
2024-01-07,S05,SKU001,Frozen,9,47,0,10.08,0,Hot,0
2024-01-07,S05,SKU020,Household,6,22,37,13.45,1,Cloudy,0
2024-01-07,S05,SKU005,Snacks,5,28,34,16.65,0,Cold,0
2024-01-08,S01,SKU010,Dairy,15,30,39,9.06,1,Sunny,0
2024-01-08,S01,SKU017,Snacks,6,41,0,14.78,0,Rainy,0
2024-01-08,S01,SKU011,Snacks,7,23,24,15.11,0,Cloudy,0
2024-01-08,S01,SKU003,Snacks,9,33,0,9.06,0,Rainy,0
2024-01-08,S01,SKU008,Beverages,16,45,0,9.96,0,Cloudy,0
2024-01-08,S01,SKU018,Beverages,7,22,11,1.81,0,Hot,0
2024-01-08,S02,SKU008,Household,10,17,20,13.31,0,Cloudy,0
2024-01-08,S02,SKU016,Snacks,7,41,0,10.66,0,Rainy,0
2024-01-08,S02,SKU003,Frozen,5,25,35,17.84,0,Cold,0
2024-01-08,S02,SKU015,Frozen,11,28,35,9.29,0,Sunny,0
2024-01-08,S02,SKU014,Frozen,10,24,13,9.5,0,Hot,0
2024-01-08,S02,SKU017,Snacks,8,44,0,14.86,0,Cold,0
2024-01-08,S03,SKU005,Household,7,31,0,5.21,0,Cold,0
2024-01-08,S03,SKU001,Frozen,6,35,0,15.4,0,Rainy,0
2024-01-08,S03,SKU004,Beverages,2,29,13,19.82,1,Cloudy,0
2024-01-08,S03,SKU014,Household,9,22,41,9.37,0,Rainy,0
2024-01-08,S03,SKU008,Snacks,9,19,49,14.25,0,Rainy,0
2024-01-08,S03,SKU003,Beverages,11,23,11,11.67,0,Rainy,0
2024-01-08,S04,SKU015,Frozen,5,24,16,10.28,0,Cloudy,0
2024-01-08,S04,SKU005,Household,8,24,48,8.99,0,Hot,0
2024-01-08,S04,SKU020,Household,2,36,0,3.77,0,Cold,0
2024-01-08,S04,SKU017,Frozen,3,13,38,5.03,0,Hot,0
2024-01-08,S04,SKU011,Household,11,32,0,12.54,1,Cold,0
2024-01-08,S04,SKU013,Frozen,3,19,40,6.48,0,Sunny,0
2024-01-08,S05,SKU006,Dairy,12,24,35,4.31,0,Rainy,0
2024-01-08,S05,SKU016,Household,9,17,26,16.45,0,Cloudy,0
2024-01-08,S05,SKU015,Frozen,12,17,17,7.74,0,Cloudy,0
2024-01-08,S05,SKU009,Snacks,9,43,0,11.98,0,Hot,0
2024-01-08,S05,SKU008,Dairy,2,17,26,6.23,0,Rainy,0
2024-01-08,S05,SKU014,Frozen,8,36,0,7.83,0,Rainy,0
2024-01-09,S01,SKU003,Household,4,34,0,11.25,0,Hot,0
2024-01-09,S01,SKU010,Beverages,14,47,0,13.2,0,Sunny,0
2024-01-09,S01,SKU008,Snacks,9,15,33,1.09,0,Cloudy,0
2024-01-09,S01,SKU009,Snacks,6,10,31,5.91,0,Cloudy,0
2024-01-09,S01,SKU011,Snacks,8,19,33,7.76,0,Hot,0
2024-01-09,S01,SKU006,Frozen,9,28,18,15.15,1,Rainy,0
2024-01-09,S02,SKU005,Household,14,27,10,9.08,1,Rainy,0
2024-01-09,S02,SKU007,Frozen,5,19,34,3.71,0,Sunny,0
2024-01-09,S02,SKU003,Frozen,7,14,34,18.88,0,Cloudy,0
2024-01-09,S02,SKU014,Beverages,7,44,0,1.13,0,Cloudy,0
2024-01-09,S02,SKU017,Snacks,8,29,21,10.71,1,Cold,0
2024-01-09,S02,SKU006,Frozen,9,25,15,11.53,0,Cold,0
2024-01-09,S03,SKU013,Dairy,4,30,14,6.58,0,Cloudy,0
2024-01-09,S03,SKU019,Dairy,7,25,45,13.79,0,Rainy,0
2024-01-09,S03,SKU001,Frozen,6,32,0,18.19,0,Hot,0
2024-01-09,S03,SKU020,Frozen,11,34,0,15.17,0,Rainy,0
2024-01-09,S03,SKU016,Household,8,36,0,8.96,1,Rainy,0
2024-01-09,S03,SKU018,Household,4,36,0,19.33,0,Hot,0
2024-01-09,S04,SKU020,Frozen,3,13,32,1.78,0,Cold,0
2024-01-09,S04,SKU008,Beverages,3,46,0,2.14,0,Rainy,0
2024-01-09,S04,SKU016,Frozen,2,16,27,1.49,0,Cloudy,0
2024-01-09,S04,SKU019,Dairy,5,17,48,0.62,0,Rainy,0
2024-01-09,S04,SKU009,Frozen,5,25,17,18.64,0,Hot,0
2024-01-09,S04,SKU007,Snacks,7,33,0,7.02,0,Hot,0
2024-01-09,S05,SKU015,Household,9,23,32,16.16,0,Cloudy,0
2024-01-09,S05,SKU005,Beverages,9,26,29,13.3,0,Cloudy,0
2024-01-09,S05,SKU018,Beverages,14,15,11,12.57,1,Sunny,0
2024-01-09,S05,SKU001,Frozen,1,30,21,1.28,0,Sunny,0
2024-01-09,S05,SKU013,Snacks,5,46,0,5.05,0,Cold,0
2024-01-09,S05,SKU010,Frozen,9,16,49,2.96,1,Rainy,0
2024-01-10,S01,SKU006,Frozen,0,28,36,12.85,0,Sunny,0
2024-01-10,S01,SKU002,Dairy,10,38,0,18.39,0,Hot,0
2024-01-10,S01,SKU009,Dairy,17,35,0,1.33,1,Hot,0
2024-01-10,S01,SKU013,Frozen,7,27,49,6.12,0,Cloudy,0
2024-01-10,S01,SKU011,Dairy,0,17,29,11.53,0,Sunny,0
2024-01-10,S01,SKU004,Frozen,7,33,0,2.21,0,Cloudy,0
2024-01-10,S02,SKU009,Snacks,13,31,0,14.74,0,Cold,0
2024-01-10,S02,SKU003,Beverages,8,32,0,15.54,0,Cloudy,0
2024-01-10,S02,SKU016,Beverages,10,46,0,3.5,0,Cloudy,0
2024-01-10,S02,SKU001,Beverages,7,29,13,8.22,0,Sunny,0
2024-01-10,S02,SKU002,Snacks,9,20,39,18.85,0,Cold,0
2024-01-10,S02,SKU006,Snacks,5,14,31,3.14,0,Sunny,0
2024-01-10,S03,SKU001,Beverages,5,8,16,12.11,0,Sunny,0
2024-01-10,S03,SKU005,Household,6,32,0,6.28,0,Cloudy,0
2024-01-10,S03,SKU008,Snacks,10,30,16,13.73,0,Rainy,0
2024-01-10,S03,SKU019,Frozen,12,41,0,15.83,1,Cloudy,0
2024-01-10,S03,SKU016,Dairy,4,48,0,15.17,0,Rainy,0
2024-01-10,S03,SKU011,Dairy,10,35,0,11.05,0,Hot,0
2024-01-10,S04,SKU006,Beverages,3,43,0,7.79,0,Cold,0
2024-01-10,S04,SKU004,Dairy,4,42,0,10.48,0,Cloudy,0
2024-01-10,S04,SKU020,Household,6,13,23,19.22,0,Sunny,0
2024-01-10,S04,SKU010,Frozen,20,25,34,3.28,0,Cold,0
2024-01-10,S04,SKU019,Frozen,3,32,0,7.04,0,Sunny,0
2024-01-10,S04,SKU017,Snacks,9,23,11,11.96,0,Cold,0
2024-01-10,S05,SKU003,Household,10,28,21,14.75,0,Hot,0
2024-01-10,S05,SKU019,Beverages,8,32,0,13.67,0,Hot,0
2024-01-10,S05,SKU008,Household,2,47,0,8.66,0,Cold,0
2024-01-10,S05,SKU004,Beverages,5,24,36,5.59,0,Sunny,0
2024-01-10,S05,SKU010,Dairy,6,14,20,6.07,0,Cold,0
2024-01-10,S05,SKU014,Household,2,28,44,17.98,0,Hot,0
2024-01-11,S01,SKU014,Frozen,6,48,0,15.92,0,Rainy,0
2024-01-11,S01,SKU012,Frozen,5,24,33,8.31,0,Sunny,0
2024-01-11,S01,SKU003,Beverages,10,13,39,5.5,0,Cloudy,0
2024-01-11,S01,SKU017,Frozen,5,44,0,16.17,0,Cold,0
2024-01-11,S01,SKU011,Dairy,15,23,31,8.4,0,Cloudy,0
2024-01-11,S01,SKU001,Frozen,8,44,0,16.34,0,Rainy,0
2024-01-11,S02,SKU005,Household,12,15,47,0.6,0,Cloudy,0
2024-01-11,S02,SKU014,Frozen,11,18,36,19.21,0,Hot,0
2024-01-11,S02,SKU006,Frozen,11,28,24,1.88,0,Cloudy,0
2024-01-11,S02,SKU017,Frozen,8,38,0,7.7,0,Hot,0
2024-01-11,S02,SKU009,Household,2,21,46,13.43,0,Cold,0
2024-01-11,S02,SKU010,Dairy,11,38,0,15.05,1,Sunny,0
2024-01-11,S03,SKU011,Frozen,5,37,0,14.62,0,Sunny,0
2024-01-11,S03,SKU008,Household,8,20,43,1.55,0,Rainy,0
2024-01-11,S03,SKU003,Household,11,26,10,17.79,0,Sunny,0
2024-01-11,S03,SKU009,Frozen,0,18,29,16.64,0,Sunny,0
2024-01-11,S03,SKU015,Dairy,6,45,0,10.97,0,Sunny,0
2024-01-11,S03,SKU004,Beverages,4,23,43,18.23,0,Cold,0
2024-01-11,S04,SKU016,Dairy,3,32,0,15.5,0,Rainy,0
2024-01-11,S04,SKU011,Dairy,4,21,46,16.68,0,Sunny,0
2024-01-11,S04,SKU006,Dairy,5,31,0,18.98,0,Cold,0
2024-01-11,S04,SKU020,Household,25,34,0,16.58,1,Hot,0
2024-01-11,S04,SKU007,Dairy,12,24,34,13.84,0,Rainy,0
2024-01-11,S04,SKU018,Household,0,21,33,18.26,0,Rainy,0
2024-01-11,S05,SKU001,Frozen,7,23,29,18.37,0,Rainy,0
2024-01-11,S05,SKU017,Frozen,2,47,0,1.56,0,Cold,0
2024-01-11,S05,SKU007,Household,18,34,0,8.96,1,Rainy,0
2024-01-11,S05,SKU003,Snacks,11,20,29,4.14,0,Sunny,0
2024-01-11,S05,SKU008,Frozen,4,14,23,16.21,0,Sunny,0
2024-01-11,S05,SKU012,Frozen,5,27,24,7.01,0,Sunny,0
2024-01-12,S01,SKU015,Snacks,15,44,0,9.73,1,Cloudy,0
2024-01-12,S01,SKU001,Dairy,5,13,24,3.24,0,Sunny,0
2024-01-12,S01,SKU003,Household,11,16,48,12.21,0,Cold,0
2024-01-12,S01,SKU010,Dairy,9,20,11,10.81,0,Cloudy,0
2024-01-12,S01,SKU008,Frozen,9,17,35,14.87,0,Cold,0
2024-01-12,S01,SKU007,Household,12,25,48,9.93,1,Cloudy,0
2024-01-12,S02,SKU017,Frozen,13,44,0,18.9,0,Rainy,0
2024-01-12,S02,SKU012,Dairy,4,15,32,15.45,0,Cloudy,0
2024-01-12,S02,SKU014,Dairy,8,25,35,11.15,0,Cold,0
2024-01-12,S02,SKU011,Dairy,9,20,32,11.84,0,Hot,0
2024-01-12,S02,SKU019,Snacks,4,40,0,15.25,0,Sunny,0
2024-01-12,S02,SKU016,Beverages,10,29,21,7.95,0,Sunny,0
2024-01-12,S03,SKU007,Frozen,13,21,46,18.62,1,Rainy,0
2024-01-12,S03,SKU011,Dairy,1,35,0,13.03,0,Hot,0
2024-01-12,S03,SKU004,Household,9,20,43,9.75,0,Rainy,0
2024-01-12,S03,SKU006,Household,7,13,13,10.34,0,Rainy,0
2024-01-12,S03,SKU020,Household,10,13,31,13.94,0,Rainy,0
2024-01-12,S03,SKU018,Dairy,14,25,24,10.3,1,Cold,0
2024-01-12,S04,SKU004,Dairy,7,14,41,9.96,0,Cold,0
2024-01-12,S04,SKU007,Beverages,8,25,39,1.27,1,Sunny,0
2024-01-12,S04,SKU010,Household,1,40,0,11.46,0,Cold,0
2024-01-12,S04,SKU008,Snacks,22,39,0,19.07,1,Cloudy,0
2024-01-12,S04,SKU012,Dairy,1,48,0,2.2,0,Cold,0
2024-01-12,S04,SKU003,Beverages,13,23,26,4.66,0,Rainy,0
2024-01-12,S05,SKU002,Beverages,9,27,27,7.73,0,Cloudy,0
2024-01-12,S05,SKU018,Household,13,14,41,13.14,0,Hot,0
2024-01-12,S05,SKU010,Dairy,14,39,0,11.23,0,Hot,0
2024-01-12,S05,SKU005,Frozen,8,19,33,3.21,0,Sunny,0
2024-01-12,S05,SKU016,Frozen,6,34,0,13,0,Sunny,0
2024-01-12,S05,SKU020,Frozen,6,38,0,16.91,0,Rainy,0
2024-01-13,S01,SKU011,Beverages,7,43,0,14.45,0,Hot,0
2024-01-13,S01,SKU006,Beverages,9,29,49,2.28,0,Cold,0
